fileName,programName,semesterOrder,subjectName,notes
(GE) B.A.(H) Hindi, Hindi ka vaishvik paridrshya Sem.IIIrd Dec.2025.pdf,B.A. (Hons.) Hindi,3,Hindi ka Vaishvik Paridrshya,"DU-formatted filename - extract: B.A.(H) Hindi, Sem III"
(GE) B.A.(P) Hindi, Hindi Gadhya_Udhav aur Vikash (Kha) Sem.IIIrd Dec.2025.pdf,B.A. (Programme),3,Hindi Gadya Udhav aur Vikash (Kha),"DU-formatted - B.A. Programme, Sem III"
(GE)-B.A.(H)  Hindi, Hindi ka vaishvik paridrshya Sem.IIIrd Dec.2025.pdf,B.A. (Hons.) Hindi,3,Hindi ka Vaishvik Paridrshya,"Duplicate/variant of earlier - DU format"
1.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan - insufficient info"
1.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan - insufficient info"
1.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic scan - insufficient info"
12 century Nova (2).pdf,Unsorted (Pending Categorization),1,Unknown,"Vague - possibly History but 12th century unclear"
12th century world history 1900+1945.pdf,B.A. (Hons.) History,1,History,"Subject identifiable but date range is typo"
1427_62327502.pdf,Unsorted (Pending Categorization),1,Unknown,"Unidentifiable code"
47.pdf,Unsorted (Pending Categorization),1,Unknown,"Generic number - no subject info"
AEC Common Prog Group URDU -B Sem.IIIrd 2025.pdf,Common Pool (VAC / AEC / SEC),3,Urdu B,"AEC indicates Common Pool, Sem III"
AEC-Common Prog Group-URDU -B Sem.III Dec 2025.pdf,Common Pool (VAC / AEC / SEC),3,Urdu B,"Variant - AEC Common Pool, Sem III"
Adhunik Punjabi Kaav.pdf,B.A. (Hons.) Hindi,1,Adhunik Punjabi Kaav,"Punjabi subject - likely Hindi Honours"
Adhunik Punjabi Kahani  6294.pdf,B.A. (Hons.) Hindi,1,Adhunik Punjabi Kahani,"Punjabi subject - Hindi Honours"
Administrative Structure  2714.pdf,Common Pool (VAC / AEC / SEC),0,Administrative Structure,"Generic course - likely common pool"
Administrative Structure  2732.pdf,Common Pool (VAC / AEC / SEC),0,Administrative Structure,"Duplicate variant"
Advanced Biotechniques.pdf,B.Sc. (Hons.) Botany,5,Advanced Biotechniques,"Biotech subject - Botany Honours Sem 5"
Advanced sterochemistry.pdf,B.Sc. (Hons.) Chemistry,5,Advanced Stereochemistry,"Chemistry subject - likely honours sem 5"
Analysis ( LOCF).pdf,B.Sc. (Hons.) Mathematics,3,Analysis (LOCF),"LOCF = degree structure - Math subject"
Archaeology.pdf,B.A. (Hons.) History,1,Archaeology,"Archaeology subject - History programme"
Astronomy & Astrophysics 1144.pdf,B.Sc. (Hons.) Physics,3,Astronomy & Astrophysics,"Physics honours subject"
Astronomy & Astrophysics.pdf,B.Sc. (Hons.) Physics,3,Astronomy & Astrophysics,"Physics subject"
Astronomy & Astrophysics.pdf,B.Sc. (Hons.) Physics,3,Astronomy & Astrophysics,"Duplicate"
Astronomy & Astrophysics.pdf,B.Sc. (Hons.) Physics,3,Astronomy & Astrophysics,"Duplicate"
Attendance Notification.pdf,Unsorted (Pending Categorization),1,Unknown,"Not academic content"
B.A.(H) English DSC Literary Criticism  Sem.IIIrd Dec. 2025.pdf,B.A. (Hons.) English,3,Literary Criticism,"DU format: B.A.(H) English, DSC, Sem III"
B.A.(H) History, History of the USA_ Independence to Civil War (NEP UGCF) Sem.Ist Dec 2025.pdf,B.A. (Hons.) History,1,History of the USA (1776-1865),"DU format: B.A.(H) History, NEP UGCF, Sem I"
B.A.(P) Major Sem.III rd Optimisation Method for Economics Dec 2025.pdf,B.A. (Programme),3,Optimisation Method for Economics,"B.A. Programme, Major subject, Sem III"
B.A.(P) UGCF Stenography (English) I Discipline Course Modern Office Management Sem.III Dec 2025.pdf,B.A. (Programme),3,Stenography/Modern Office Management,"B.A. Programme UGCF, Sem III"
B.Com.(H) NEP Organisational Behaviour Sem.IIIrd Dec.2025.pdf,B.Com (Hons) — DU Official Syllabus,3,Organisational Behaviour,"B.Com(H) NEP, Sem III"
B.Com.(P) DSC, Principal of Marketing,Sem.IIIrd Dec.2025.pdf,B.Com. (Programme),3,Principles of Marketing,"B.Com Programme DSC, Sem III"
