sourceFile,sourceRow,originalProgramme,originalTerm,originalSubject,originalExamSession,rejectionReason,proposedResolution,confidence,automaticResolutionSafe,manualReviewRequired,category,missingProgramSlug
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=0,B.A. (Programme),,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=ba-programme),no deterministic target — requires manual data decision,0.2,false,true,missing programme,ba-programme
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=1,B.A. (H) Economics,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-economics),alias -> Program(slug=ba-hons-economics),0.9,true,false,programme-name variation,ba-h-economics
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=2,B.A. (H) English,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-english),alias -> Program(slug=ba-hons-english),0.55,false,true,programme-name variation,ba-h-english
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=3,B.A. (H) Hindi,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-hindi),alias -> Program(slug=ba-hons-hindi),0.9,true,false,programme-name variation,ba-h-hindi
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=4,B.A. (H) History,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-history),alias -> Program(slug=history-honours),0.7,false,true,programme-name variation,ba-h-history
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=5,B.A. (H) Political Science,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-political-science),alias -> Program(slug=ba-hons-political-science),0.9,true,false,programme-name variation,ba-h-political-science
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=6,B.A. (H) Sanskrit,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-sanskrit),alias -> Program(slug=ba-hons-sanskrit),0.9,true,false,programme-name variation,ba-h-sanskrit
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=7,B.A. (H) Sociology,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=ba-h-sociology),alias -> Program(slug=ba-hons-socialogy),0.85,true,false,programme-name variation,ba-h-sociology
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=8,B.Com. (Programme),,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=bcom-programme),alias -> Program(slug=bcom-p),0.9,true,false,programme-name variation,bcom-programme
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=9,B.Com. (H),,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=bcom-h),alias -> Program(slug=bcom-hons),0.9,true,false,programme-name variation,bcom-h
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=10,B.Sc. Prog Life Sciences+PHY SC.,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=bsc-prog-life-sciencesphy-sc),no deterministic target — requires manual data decision,0.15,false,true,invalid source data,bsc-prog-life-sciencesphy-sc
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=11,B.Sc.Prog. Physical science+Life Science,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=bscprog-physical-sciencelife-science),no deterministic target — requires manual data decision,0.15,false,true,invalid source data,bscprog-physical-sciencelife-science
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=12,B.Sc. (H) Botany,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-botany),alias -> Program(slug=bsc-hons-botany),0.9,true,false,programme-name variation,bsc-h-botany
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=13,B.Sc. (H) Chemistry,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-chemistry),alias -> Program(slug=bsc-hons-chemistry),0.9,true,false,programme-name variation,bsc-h-chemistry
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=14,B.Sc. (H) Mathematics,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-mathematics),alias -> Program(slug=bsc-hons-mathematics),0.9,true,false,programme-name variation,bsc-h-mathematics
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=15,B.Sc. (H) Physics,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-physics),alias -> Program(slug=bsc-hons-physics),0.9,true,false,programme-name variation,bsc-h-physics
src/data/exam-sessions-source.ts,session=2025-26 (Dec-Jan) Question Papers row=16,B.Sc. (H) Zoology,,,2025-26 (Dec-Jan) Question Papers,unresolved_fk: missing parent Program(slug=bsc-h-zoology),alias -> Program(slug=bsc-hons-zoology),0.9,true,false,programme-name variation,bsc-h-zoology
