naturalKey,status,reason,originalSubjectName,fileUrl
migration-export:cmrogwcu50003rppu2epwcyee,unresolved_subject,"No current Subject matches ""Financial Management for Beginners (Eco. GE)"" (old programme ""Common Pool (VAC / AEC / SEC)"") — not found in the mapped programme(s), the elective pools, or anywhere else in the catalogue, including a conservative fuzzy pass.",Financial Management for Beginners (Eco. GE),/uploads/pyqs/0ab1ff23-8f81-4789-a354-520b9557c683-Financial_Management_for_Beginners_Eco_GE_Sem_II_PYQ_2.pdf
migration-export:cmrogwcu70005rppui96mfnnr,unresolved_subject,"No current Subject matches ""Financial Literacy"" (old programme ""Common Pool (VAC / AEC / SEC)"") — not found in the mapped programme(s), the elective pools, or anywhere else in the catalogue, including a conservative fuzzy pass.",Financial Literacy,/uploads/pyqs/236fe803-bc86-4c1a-9785-e31aa8582067-Financial_Literacy_4393.pdf
migration-export:cmrogwcu80007rppu96io6btm,unresolved_subject,"No match within the mapped/pool programme(s); a global fallback search found 2 Subjects with this name across different programmes (bcom-p, bcom-hons) — ambiguous, never auto-picked.",Finance for Everyone,/uploads/pyqs/362a12d5-7737-44c5-843c-b463760890b2-Finance_for_Everyone_SEC_PYQ_3.pdf
migration-export:cmrogwcu90009rppui79p6zyo,unresolved_subject,"No current Subject matches ""Yoga Philosophy & Practice"" (old programme ""Common Pool (VAC / AEC / SEC)"") — not found in the mapped programme(s), the elective pools, or anywhere else in the catalogue, including a conservative fuzzy pass.",Yoga Philosophy & Practice,/uploads/pyqs/37ab5c06-8ace-4101-b258-267a8f99d5ca-Yoga_Philosophy_Practice_4321.pdf
migration-export:cmrogwcub000brppumtc2vxqo,unresolved_subject,"No current Subject matches ""Yoga Philosophy & Practice"" (old programme ""Common Pool (VAC / AEC / SEC)"") — not found in the mapped programme(s), the elective pools, or anywhere else in the catalogue, including a conservative fuzzy pass.",Yoga Philosophy & Practice,/uploads/pyqs/3b000abc-6dcc-415d-a83f-e72ba2f059b8-Yoga_Philosophy_Practice_4378.pdf
migration-export:cmrogwcuc000drppup9m9af0k,unresolved_subject,"No current Subject matches ""Yoga Philosophy & Practice"" (old programme ""Common Pool (VAC / AEC / SEC)"") — not found in the mapped programme(s), the elective pools, or anywhere else in the catalogue, including a conservative fuzzy pass.",Yoga Philosophy & Practice,/uploads/pyqs/408bf7bd-9c07-4ddb-af52-0fbe536ed096-Yoga_Philosophy_Practice_4350.pdf
migration-export:cmrogwcud000frppu3orgsl1t,unresolved_subject,"No match within the mapped/pool programme(s); a global fallback search found 2 Subjects with this name across different programmes (bcom-p, bcom-hons) — ambiguous, never auto-picked.",Finance for Everyone,/uploads/pyqs/6457bf17-1a15-4f7d-a440-e68831e7b110-Finance_for_Everyone_SEC_PYQ_2.pdf
migration-export:cmrogwcue000hrppumetb88xe,unresolved_subject,"No match within the mapped/pool programme(s); a global fallback search found 2 Subjects with this name across different programmes (bcom-p, bcom-hons) — ambiguous, never auto-picked.",Finance for Everyone,/uploads/pyqs/72f8f8a1-74ec-482a-a585-c3781c8e4b1f-Finance_for_Everyone_SEC_PYQ_1.pdf
migration-export:cmrogwcuf000jrppuvked1mex,unresolved_subject,"No current Subject matches ""Art of Being Happy"" (old programme ""Common Pool (VAC / AEC / SEC)"") — not found in the mapped programme(s), the elective pools, or anywhere else in the catalogue, including a conservative fuzzy pass.",Art of Being Happy,/uploads/pyqs/8bba77d1-db51-4786-ac6b-cf1d9182a2b0-Art_of_Being_Happy_4375.pdf
migration-export:cmrogwcuh000lrppuhq7y8td2,unresolved_subject,"No current Subject matches ""Art of Being Happy"" (old programme ""Common Pool (VAC / AEC / SEC)"") — not found in the mapped programme(s), the elective pools, or anywhere else in the catalogue, including a conservative fuzzy pass.",Art of Being Happy,/uploads/pyqs/8f61df30-2158-40fd-960f-a33c26b38a90-Art_of_Being_Happy_4402.pdf
