file_path,route_or_function,query_type,model,pagination,limit,selected_fields,included_relations,cache_status,client_or_server,risk_level,notes,phase_2a_status,phase_2a_notes
src/app/sitemap.ts,sitemap (GET),findMany,program,no,none,id; slug; createdAt,none,ISR revalidate=3600,server,Low,SEO sitemap; selects were already narrow,FIXED,Added `export const revalidate = 3600` to src/app/sitemap.ts — route output is now cached for 1h instead of regenerating (7 full-table scans) on every crawler hit
src/app/sitemap.ts,sitemap (GET),findMany,term,no,none,id; createdAt,none,ISR revalidate=3600,server,Low,Unbounded but narrow-selected,FIXED,Same sitemap-level revalidate fix
src/app/sitemap.ts,sitemap (GET),findMany,subject,no,none,id; createdAt,none,ISR revalidate=3600,server,Low,Unbounded but narrow-selected,FIXED,Same sitemap-level revalidate fix
src/app/sitemap.ts,sitemap (GET),findMany,resource,no,none,id; title; createdAt,none,ISR revalidate=3600,server,Low,Unbounded but narrow-selected,FIXED,Same sitemap-level revalidate fix
src/app/sitemap.ts,sitemap (GET),findMany,examSession,no,none,id; updatedAt,none,ISR revalidate=3600,server,Low,Unbounded but narrow-selected,FIXED,Same sitemap-level revalidate fix
src/app/sitemap.ts,sitemap (GET),findMany,sessionProgramLink,no,none,id; createdAt,none,ISR revalidate=3600,server,Low,Unbounded but narrow-selected,FIXED,Same sitemap-level revalidate fix
src/app/sitemap.ts,sitemap (GET),findMany,driveFileMatch,no,none,id; createdAt,none,ISR revalidate=3600,server,Low,Unbounded but narrow-selected,FIXED,Same sitemap-level revalidate fix
src/app/admin/(dashboard)/layout.tsx:48,admin layout,count,feedback,no,none,N/A,N/A,no caching found,server,Low,Admin-only; a single COUNT is cheap,UNCHANGED,"Out of scope for Phase 2A — admin-only, not a public egress source, no shared caching per the ""admin/user data must never be publicly cached"" rule"
src/app/admin/(dashboard)/page.tsx:16,admin dashboard,count,failedUpload,no,none,N/A,N/A,no caching found,server,Low,Admin-only,UNCHANGED,Out of scope — admin-only
src/app/admin/(dashboard)/page.tsx:17,admin dashboard,count,uploadBatch,no,none,N/A,N/A,no caching found,server,Low,Admin-only,UNCHANGED,Out of scope — admin-only
src/app/admin/(dashboard)/subject-normalization/actions.ts:48-51,scanForDuplicateSubjects,findMany,term,no,none,all fields,program,no caching found,server,Medium,Admin-only bulk scan,UNCHANGED,"Out of scope — admin-triggered batch job, not a per-request public read"
src/app/admin/(dashboard)/subject-normalization/actions.ts:77,scanForDuplicateSubjects (loop),findMany,subject,no,none,all fields,term,no caching found,server,Medium,Inside loop over terms; admin-only,UNCHANGED,Out of scope — admin-only batch job; see "remaining risks" for a note on this loop
src/app/admin/(dashboard)/subject-normalization/actions.ts:197,approveMergeSuggestion,findMany,subjectMergeSuggestion,no,none,all fields,none,no caching found,server,Low,Admin-only,UNCHANGED,Out of scope — admin-only
src/api/download/[resourceId]/route.ts:10,download/[resourceId] GET,findUnique,resource,no,none,all fields,none,no caching found,server,Low,Public download redirect; single row,UNCHANGED,Already a single-row lookup by id; not a scan risk
src/api/download/[resourceId]/route.ts:13,download/[resourceId] GET,update,resource,N/A,N/A,N/A,none,no caching found,server,Low,Increments download counter; public,UNCHANGED,"Write, not a read-scaling risk"
src/api/subjects/[id]/download-all/route.ts:16,subjects/[id]/download-all GET,findUnique,subject,no,none,"name; notes.content; resources(fileUrl,fileName,title,type)",resources; notes,rate-limited (10/min/IP),server,Low,Public; narrowed select + rate limit,FIXED,"select narrowed from full-row include to only the 4 fields the ZIP builder uses; added a 10-req/min per-IP rate limit (src/lib/rate-limit.ts) since this endpoint fetches+zips every file for a subject"
src/lib/data.ts,getProgramsByLevel,findMany,program,no,none,"id; level; name; slug; summary; createdAt; terms(id,name,order,createdAt,subjects)",terms.subjects,no caching found,server,Medium,Deep nested include narrowed to select,PARTIALLY FIXED,"Converted include->select (drops nothing rendered, narrows Program's own field set); NOT wrapped in cache()/unstable_cache — audit found no duplicate-query pattern for this one, and its caller (/browse/[level]) is already `force-static`"
src/lib/data.ts,getProgramBySlug,findUnique,program,no,none,all fields,terms; subjects,React cache() + page ISR,server,Low,Public page data,FIXED,"Wrapped in React cache() (generateMetadata()+page were each querying separately); /programs/[slug] was already `dynamic=""force-static""`"
